State,Forest Name,Area (City),Region (Zone),Fire Occurrence,Month,Day,Oxygen,Temperature,Humidity,FFMC,DMC,DC,ISI,RH,Wind
Jammu and Kashmir,Katarniaghat Wildlife Sanctuary,Bahraich,Southern,1,12,17,83,39,29,56,143,1017,52,560,11
Uttarakhand,Anshi National Park,Nainital,Central,1,7,10,85,39,75,98,110,1744,225,620,10
Andaman and Nicobar Islands,Sharavathi Valley Wildlife Sanctuary,Coimbatore,Central,1,9,12,95,50,17,82,19,1053,220,605,4
Goa,Khalasuni Wildlife Sanctuary,West Garo Hills,Western,1,7,28,90,45,0,26,23,530,266,668,11
Haryana,Bhagwan Mahavir Wildlife Sanctuary,Raebareli,Western,1,12,6,94,46,63,19,177,1593,224,92,11
Goa,Sonanadi Wildlife Sanctuary,Sipahijala,Central,0,9,22,81,31,21,22,398,818,131,817,14
Madhya Pradesh,Chandraprabha Wildlife Sanctuary,Dang,Western,1,1,11,91,49,56,15,280,1087,55,478,16
Andhra Pradesh,Eravikulam National Park,Yamunanagar,Western,1,5,22,92,46,57,1,110,886,3,627,5
Telangana,Mount Abu Wildlife Sanctuary,Chandauli,Eastern,1,11,18,87,50,89,66,363,1323,87,585,11
Karnataka,Velavadar National Park,Kendrapara,Southern,0,8,28,99,19,98,25,355,1503,252,532,14
Meghalaya,Gir Forest National Park,Kheda,Southern,1,9,21,91,48,58,35,113,225,119,446,16
West Bengal,Kurinjimala Sanctuary,Adilabad,Northern,1,5,8,89,43,78,33,473,551,68,190,13
Uttar Pradesh,Saddle Peak National Park,Lohit,Southern,0,12,8,40,30,46,16,137,1917,224,952,5
Kerala,"Marine National Park, Gulf of Kutch",Sivaganga,Western,1,6,22,84,50,92,61,207,295,16,396,7
Uttar Pradesh,Balphakram National Park,Tuticorin,Eastern,0,10,21,52,38,25,59,112,390,266,173,8
Telangana,Gumti Wildlife Sanctuary,Navsari,Southern,1,5,13,81,49,87,74,199,1447,243,524,6
Manipur,Vaduvoor Bird Sanctuary,Leh,Central,0,10,22,56,30,66,62,48,819,185,924,18
Goa,Kumbhalgarh Wildlife Sanctuary,North Goa,Southern,1,5,30,93,50,84,53,432,1092,57,923,15
Mizoram,Bandipur National Park,Ukhrul,Western,1,5,1,90,43,84,41,27,481,240,498,4
Meghalaya,Sharavathi Valley Wildlife Sanctuary,Bhavnagar,Eastern,0,11,9,46,35,50,55,152,498,257,921,12
Punjab,Cotigao Wildlife Sanctuary,Hazaribagh,Southern,1,6,2,97,50,86,11,124,1665,111,403,22
Bihar,Nanda Devi National Park,Lahaul and Spiti,Western,0,10,15,49,20,72,46,244,1365,88,530,10
Gujarat,Galathea National Park,Banaskantha,Northern,0,11,27,72,25,75,34,169,1760,5,193,16
Gujarat,Satpura National Park,Gurugram,Northern,0,9,9,92,33,20,42,14,305,178,239,20
Himachal Pradesh,Guindy National Park,Somwarpet,Southern,0,8,14,61,30,12,19,140,153,220,368,16
Uttar Pradesh,Jim Corbett National Park,Rajgir,Eastern,0,4,15,50,33,80,45,376,798,81,885,11
Andaman and Nicobar Islands,Sharavathi Valley Wildlife Sanctuary,West Garo Hills,Southern,0,1,6,83,18,35,20,486,1771,135,5,22
Rajasthan,Rollapadu Wildlife Sanctuary,"Idukki, Pathanamthitta, and Thekkady",Eastern,0,5,15,84,12,2,37,90,149,108,168,20
Bihar,Thattekad Bird Sanctuary,Umaria,Southern,1,1,25,89,45,33,69,441,1006,254,253,24
West Bengal,Cotigao Wildlife Sanctuary,Chandrapur,Southern,1,10,25,86,45,18,13,481,379,166,560,24
Tamil Nadu,Khalasuni Wildlife Sanctuary,Dibang Valley,Central,0,1,8,76,35,36,85,267,650,166,23,17
Maharashtra,Vallanadu Blackbuck Sanctuary,Kiphire,Eastern,1,8,7,82,46,79,81,405,1956,49,32,9
Himachal Pradesh,Panna National Park,Champhai,Western,0,12,31,42,31,40,22,86,1528,112,157,5
Jammu and Kashmir,Indira Gandhi Wildlife Sanctuary,"Golaghat, Nagaon, Sonitpur and Biswanath",Southern,0,8,10,20,32,46,19,334,129,61,679,19
Uttarakhand,Clouded Leopard National Park,Little Andaman,Northern,1,6,5,94,47,82,63,350,697,123,238,19
Arunachal Pradesh,Govind Wildlife Sanctuary,Mandla,Northern,1,12,15,93,43,67,11,170,1760,1,498,24
Chhattisgarh,Orang National Park,West Garo Hills,Western,0,3,18,97,20,57,84,390,930,183,463,15
Assam,Vikramshila Gangetic Dolphin Sanctuary,Dang,Eastern,0,7,24,91,35,64,11,113,1248,23,191,5
West Bengal,Rowa Wildlife Sanctuary,South Sikkim,Central,0,4,30,28,33,2,87,474,1068,242,693,13
Mizoram,Gandhi Sagar Wildlife Sanctuary,Raebareli,Central,0,4,24,64,33,43,77,292,525,258,8,6
Andaman and Nicobar Islands,Tadoba Andhari Tiger Reserve,Alipurduar,Western,1,3,14,95,39,39,17,352,1849,19,153,9
Maharashtra,Jamwa Ramgarh Wildlife Sanctuary,Ahmedabad,Eastern,0,8,11,92,15,87,66,267,1752,268,694,4
Tamil Nadu,Navegaon National Park,Chikkamagaluru,Eastern,0,3,8,94,19,99,61,412,386,274,659,22
Arunachal Pradesh,Mount Harriet National Park,Hoshangabad,Eastern,1,6,6,91,43,22,77,322,872,113,492,21
Uttar Pradesh,Eaglenest Wildlife Sanctuary,North Sikkim,Western,0,8,24,35,11,88,2,168,880,137,541,23
Jammu and Kashmir,Yangoupokpi-Lokchao Wildlife Sanctuary,Dehradun,Eastern,0,4,18,68,29,28,99,86,1738,147,967,14
Karnataka,Bhagwan Mahavir Wildlife Sanctuary,Lohit,Western,0,9,18,35,18,60,36,204,1523,190,10,19
Telangana,Periyar National Park,Gondia,Western,1,11,24,95,48,15,99,442,1693,226,413,23
Chhattisgarh,Ntangki National Park,Rajahmundry,Western,0,11,7,89,25,62,4,139,1605,19,530,24
Rajasthan,Manas National Park,Baksa,Northern,1,11,4,98,49,63,46,220,818,89,626,17
Haryana,Fambong Lho Wildlife Sanctuary,Gondia,Eastern,0,4,7,25,27,85,7,383,309,82,246,15
Bihar,Sonanadi Wildlife Sanctuary,Hoshangabad,Southern,0,4,24,81,17,40,24,23,1500,298,449,12
Karnataka,Neora Valley National Park,Nicobar Islands,Southern,0,7,3,60,12,30,48,398,1861,35,118,17
Tamil Nadu,Rowa Wildlife Sanctuary,Kohima,Southern,0,6,16,43,38,5,76,323,1896,18,719,24
Kerala,Nagarjunsagar-Srisailam Tiger Reserve,East Siang,Southern,1,6,12,92,39,88,25,454,299,3,89,22
Gujarat,Rangapahar Wildlife Sanctuary,Panna,Central,0,1,3,62,13,96,88,129,706,119,230,15
Andaman and Nicobar Islands,Bhitarkanika National Park,Thane,Southern,1,10,28,88,49,88,27,488,718,99,510,5
Sikkim,Dachigam National Park,North Tripura,Western,1,3,2,98,40,13,87,188,1846,117,321,11
Chhattisgarh,Harike Wetland,Ernakulam,Central,1,7,7,87,44,93,50,95,1562,47,411,14
Karnataka,Tansa Wildlife Sanctuary,Kullu,Northern,0,1,29,87,33,49,97,109,611,137,969,6
Rajasthan,Kane Wildlife Sanctuary,Great Nicobar,Eastern,1,1,1,96,41,7,99,462,582,69,231,21
Sikkim,Eaglenest Wildlife Sanctuary,West Tripura,Eastern,1,3,30,100,50,74,59,191,458,87,617,19
Jharkhand,Hemis National Park,Kaimur,Western,1,9,2,85,40,22,5,409,1395,179,776,20
Himachal Pradesh,Vettangudi Bird Sanctuary,Pratapgarh,Northern,1,2,31,93,48,74,95,436,1770,59,333,13
Andaman and Nicobar Islands,Nanda Devi National Park,Chandrapur,Eastern,0,4,20,44,30,25,80,430,1451,76,944,5
Tripura,Khalasuni Wildlife Sanctuary,North Tripura,Eastern,1,6,6,97,42,33,3,251,1889,150,401,7
West Bengal,Panna National Park,Gaya,Eastern,0,12,12,62,16,53,55,349,628,175,692,4
Mizoram,Harike Wildlife Sanctuary,Mancherial,Central,1,7,10,87,49,3,93,69,302,284,844,22
Manipur,Nawabganj Bird Sanctuary,Palamu,Southern,0,2,13,42,32,1,13,492,762,22,46,13
Telangana,Rajaji National Park,Udaipur,Eastern,0,7,28,67,27,90,36,203,353,1,915,6
Karnataka,Rajgir Wildlife Sanctuary,Dibang Valley,Western,0,8,11,59,32,2,51,357,1572,35,554,20
Mizoram,Bir Shikargah Wildlife Sanctuary,Chamoli,Western,1,5,20,82,50,4,80,347,71,109,227,24
Uttar Pradesh,Clouded Leopard National Park,Somwarpet,Western,0,9,10,77,25,27,1,427,1453,138,3,22
Chhattisgarh,Sessa Orchid Sanctuary,South Sikkim,Eastern,1,5,25,85,41,77,45,215,819,118,961,10
Madhya Pradesh,Manjira Wildlife Sanctuary,Belonia,Central,1,3,9,99,44,59,17,256,1103,82,626,4
Haryana,Dachigam National Park,Idukki,Northern,0,2,7,92,25,52,23,180,492,43,981,17
Andhra Pradesh,Desert National Park,Canacona,Northern,1,8,2,94,45,97,51,438,1607,149,995,24
Manipur,Bir Shikargah Wildlife Sanctuary,Mamit,Southern,0,10,17,86,23,42,17,399,1111,123,821,15
Uttarakhand,Kanger Ghati National Park,South Garo Hills,Western,0,11,2,45,11,87,4,327,1474,150,684,9
Odisha,Rajaji National Park,North Goa,Northern,0,2,24,84,17,35,31,432,391,260,749,11
Tamil Nadu,Fambong Lho Wildlife Sanctuary,"Idukki, Pathanamthitta, and Thekkady",Central,1,4,28,81,48,45,61,220,1629,214,229,16
Manipur,Kyongnosla Alpine Sanctuary,Keonjhar,Western,1,8,10,100,50,64,98,62,1644,289,911,7
Odisha,Eravikulam National Park,Gondia,Eastern,1,2,17,82,39,36,85,280,1480,102,234,5
Uttarakhand,Vansda National Park,Balasore,Northern,1,6,26,92,50,5,44,190,155,285,493,20
Andaman and Nicobar Islands,Harike Wildlife Sanctuary,Kiphire,Central,0,12,19,82,37,2,10,29,381,176,828,15
Andhra Pradesh,Lengteng Wildlife Sanctuary,Uttara Kannada,Southern,0,7,3,21,19,6,45,0,1393,297,24,22
Assam,Mudumalai National Park,Belonia,Northern,1,3,14,89,44,48,10,444,1620,101,402,14
Maharashtra,Kanger Ghati National Park,Udhampur,Western,0,10,4,58,17,19,97,245,342,86,526,16
Haryana,Rangapahar Wildlife Sanctuary,Great Nicobar,Western,1,10,1,82,46,52,83,220,1685,170,163,8
Rajasthan,Papikonda National Park,East Sikkim,Western,0,4,24,87,15,97,8,115,932,140,398,13
Meghalaya,Coringa Wildlife Sanctuary,Pratapgarh,Eastern,0,7,5,23,26,4,14,143,955,49,437,17
Chhattisgarh,Barda Wildlife Sanctuary,Panna,Western,1,6,18,86,40,98,35,219,1296,170,908,8
Gujarat,Valley of Flowers National Park,Bastar,Central,1,2,16,95,43,82,7,281,90,203,859,22
Gujarat,Hemis National Park,East Siang,Central,0,1,14,61,29,10,87,357,1790,154,373,11
Meghalaya,Hadagarh Wildlife Sanctuary,Thiruvananthapuram,Northern,1,10,20,96,48,25,72,498,221,161,521,9
Kerala,Satkosia Tiger Reserve,Bengaluru,Central,0,9,3,53,27,17,80,184,183,180,744,18
Jharkhand,Fambong Lho Wildlife Sanctuary,Khammam,Eastern,0,2,25,44,35,43,59,13,1846,13,74,20
Jammu and Kashmir,Vettangudi Bird Sanctuary,Meerut,Northern,0,10,23,28,34,5,35,143,1029,216,640,5
Madhya Pradesh,Mehao Wildlife Sanctuary,"Idukki, Pathanamthitta, and Thekkady",Northern,0,5,22,61,21,13,1,254,1779,11,843,12
Jharkhand,Paniya Wildlife Sanctuary,Kalimpong,Central,0,11,14,80,29,79,49,494,1471,152,261,24
Manipur,Pulie Badze Wildlife Sanctuary,Bengaluru,Central,1,3,26,95,42,80,77,143,1606,210,842,12
Arunachal Pradesh,Dr. Daying Ering Memorial Wildlife Sanctuary,Peren,Eastern,0,12,28,53,24,1,94,129,1805,230,348,23
Uttar Pradesh,Valley of Flowers National Park,North Goa,Southern,0,8,28,63,36,57,84,145,648,125,229,15
Andhra Pradesh,Vaduvoor Bird Sanctuary,Uttara Kannada,Southern,1,4,16,84,42,19,99,272,1959,35,708,17
Andhra Pradesh,Phawngpui National Park,Mandsaur,Western,1,9,20,82,49,47,2,330,1712,291,836,19
Manipur,Sitanadi Wildlife Sanctuary,Harike,Northern,0,7,22,80,32,50,52,137,1328,285,390,6
Rajasthan,Kanha National Park,Siang,Northern,1,11,16,93,39,87,27,92,1275,122,214,5
Punjab,Katarniaghat Wildlife Sanctuary,Dibang Valley,Western,0,5,27,91,31,81,9,251,1908,70,9,20
Gujarat,Hazaribagh National Park,Sangareddy,Southern,1,12,17,84,43,33,43,132,733,264,557,13
Tripura,Chandraprabha Wildlife Sanctuary,Udhagamandalam (Ooty),Western,0,3,17,82,36,19,67,295,456,57,292,5
Himachal Pradesh,Katarniaghat Wildlife Sanctuary,Umaria,Western,1,2,19,100,42,97,95,453,841,243,109,19
Haryana,Kalesar National Park,Amravati,Eastern,0,4,11,26,35,26,49,300,1773,293,290,4
West Bengal,Sessa Orchid Sanctuary,Pune,Eastern,1,1,4,98,50,30,74,80,1767,211,734,22
Jammu and Kashmir,Sultanpur National Park,North Sikkim,Eastern,0,4,3,85,37,70,38,191,1022,98,712,5
Uttar Pradesh,Ntangki National Park,Raipur,Central,1,3,1,82,39,14,4,185,1564,114,445,22
Karnataka,Baghmara Pitcher Plant Sanctuary,Alipurduar,Northern,1,1,26,83,39,8,88,491,830,27,136,9
Telangana,Papikonda National Park,Sepahijala,Northern,0,8,14,82,18,47,63,60,1158,208,664,4
Kerala,Phawngpui Blue Mountain National Park,Dhamtari,Western,1,5,2,100,49,55,97,230,196,279,111,22
Kerala,Sessa Orchid Sanctuary,Kiphire,Central,1,1,23,94,49,40,90,8,848,240,21,4
Jammu and Kashmir,Kamlang Wildlife Sanctuary,South Garo Hills,Western,0,8,28,56,37,31,90,0,245,82,486,24
Uttarakhand,Neora Valley National Park,North Sikkim,Western,0,5,18,36,31,97,9,364,408,24,428,10
West Bengal,Hazaribagh National Park,Chamarajanagar,Northern,0,10,31,92,35,86,95,467,100,181,481,20
Jammu and Kashmir,Desert National Park,North Andaman,Western,1,2,30,88,44,82,82,481,861,4,211,13
Kerala,Harike Wetland,Unnao,Eastern,1,8,17,83,48,85,5,176,1058,179,202,7
West Bengal,Sariska Tiger Reserve,Mayurbhanj,Northern,1,11,8,99,49,75,95,364,715,274,515,22
Andhra Pradesh,Bondla Wildlife Sanctuary,Panchkula,Northern,1,1,14,92,43,48,76,107,929,124,299,16
Karnataka,Great Himalayan National Park,Hoshangabad,Central,1,7,2,94,41,52,17,446,1671,40,910,22
Jharkhand,North Button Island National Park,Devbhoomi Dwarka,Northern,0,11,26,31,21,52,59,479,1790,251,313,12
Nagaland,Kumbhalgarh Wildlife Sanctuary,Tuticorin,Central,0,1,2,64,33,75,59,229,108,40,794,23
Tripura,Sita Mata Wildlife Sanctuary,Panna,Central,1,7,21,84,39,14,58,252,334,133,278,19
Meghalaya,North Button Island National Park,Canacona,Eastern,1,2,1,97,45,55,51,208,1304,13,686,23
Goa,Kurinjimala Sanctuary,Tuticorin,Western,1,2,10,90,48,77,57,19,980,132,60,7
Mizoram,Namdapha National Park,Gurugram,Western,0,1,5,28,17,37,65,157,1647,287,796,19
Assam,Baghmara Pitcher Plant Sanctuary,West Godavari,Northern,1,5,30,99,45,59,59,477,1344,230,659,24
Haryana,Khijadia Bird Sanctuary,West Kameng,Central,0,6,7,54,37,20,78,273,1558,144,763,24
Telangana,Thattekad Bird Sanctuary,Junagadh,Eastern,0,2,21,86,13,81,74,113,1318,26,340,18
Nagaland,Rowa Wildlife Sanctuary,Darrang,Central,0,9,17,42,32,99,9,354,492,55,726,19
Odisha,Rani Jhansi Marine National Park,Hazaribagh,Central,0,7,24,20,37,7,63,208,581,272,995,9
Assam,Rowa Wildlife Sanctuary,Somwarpet,Southern,1,2,13,81,45,25,80,62,895,188,391,12
Himachal Pradesh,Manas National Park,Thane,Northern,0,12,16,21,12,45,34,355,1437,113,471,15
Andhra Pradesh,Silent Valley National Park,Meerut,Eastern,1,9,19,92,45,4,9,358,1785,120,567,20
Odisha,Ntangki National Park,Anantnag,Eastern,1,2,26,83,40,57,1,467,1633,102,226,14
Tamil Nadu,Govind Wildlife Sanctuary,North and Middle Andaman,Western,1,12,26,82,40,4,72,360,698,112,850,16
Maharashtra,Nameri National Park,Alipurduar,Northern,1,10,26,88,50,30,55,485,1325,259,982,10
Kerala,North Button Island National Park,Unnao,Southern,1,4,20,87,47,31,61,139,561,114,851,12
Madhya Pradesh,Bhagwan Mahavir Wildlife Sanctuary,Sangareddy,Central,0,6,12,56,26,71,97,355,1634,116,60,7
Madhya Pradesh,Unnamed Wildlife Sanctuary (Andaman and Nicobar Islands),East Kameng,Northern,1,4,27,86,47,41,20,111,353,36,571,8
Gujarat,Campbell Bay National Park,Tuticorin,Western,1,1,18,94,48,89,50,494,395,289,877,22
Tamil Nadu,Kinnerasani Wildlife Sanctuary,Mainpuri,Eastern,0,3,10,68,14,57,59,369,227,263,847,4
Jharkhand,Mount Harriet National Park,Canacona,Western,0,5,12,51,24,42,53,40,1871,67,110,5
Uttar Pradesh,Purna Wildlife Sanctuary,Sangareddy,Southern,0,3,19,68,30,49,68,422,736,82,144,19
Jammu and Kashmir,Lawalong Wildlife Sanctuary,Mamit,Central,1,3,6,81,41,2,30,106,439,18,216,12
Odisha,Velavadar National Park,North Sikkim,Western,1,5,21,83,46,18,27,434,2,216,372,16
Arunachal Pradesh,Chail Wildlife Sanctuary,Rajsamand,Northern,1,8,15,100,39,51,84,426,926,62,891,16
Jharkhand,Katarniaghat Wildlife Sanctuary,Gwalior,Central,1,5,25,94,47,0,85,370,1422,143,818,24
Mizoram,Sessa Orchid Sanctuary,Nagpur,Eastern,0,1,29,33,37,86,26,236,1438,62,292,5
Goa,Singalila National Park,Palakkad,Southern,0,9,17,75,26,83,60,358,538,25,575,19
Nagaland,Khangkhui Mangsor Wildlife Sanctuary,Nicobar Islands,Southern,1,2,28,81,46,71,50,163,1759,194,681,9
Goa,Kaimur Wildlife Sanctuary,Sirohi,Eastern,1,5,10,88,39,59,72,241,1433,36,744,12
Tripura,Nagarhole National Park,Senapati,Southern,1,10,12,94,40,22,7,221,995,36,934,16
Odisha,Vaduvoor Bird Sanctuary,Raisen,Southern,0,3,9,33,22,71,80,403,1229,160,230,23
Mizoram,Valley of Flowers National Park,Jaisalmer,Western,1,12,25,82,49,36,81,15,333,32,118,6
Tripura,Sonanadi Wildlife Sanctuary,Rajsamand,Central,0,11,12,50,29,46,29,129,1299,51,464,18
Nagaland,Nagarjunsagar-Srisailam Tiger Reserve,Mumbai,Eastern,1,2,2,84,44,93,84,336,555,59,640,19
Gujarat,Sariska Tiger Reserve,Sivaganga,Southern,1,4,23,81,42,75,1,212,1678,135,529,8
Andhra Pradesh,Jessore Sloth Bear Sanctuary,West Kameng,Central,1,9,10,83,46,99,34,35,177,147,292,20
Mizoram,Bandipur National Park,Kullu,Eastern,1,4,31,85,45,33,35,446,461,296,229,22
Uttarakhand,Rangapahar Wildlife Sanctuary,North Tripura,Central,0,12,27,43,31,62,83,407,449,40,876,18
Rajasthan,"Marine National Park, Gulf of Kutch",Porbandar,Northern,1,12,11,94,42,39,26,373,1002,292,875,9
Tripura,Samaspur Bird Sanctuary,Uttara Kannada,Southern,1,12,1,99,40,28,27,401,986,259,801,22
Uttar Pradesh,Jaisamand Wildlife Sanctuary,Bishnupur,Central,0,7,12,43,12,54,47,21,1693,92,760,20
Punjab,Samaspur Bird Sanctuary,Jaisalmer,Eastern,1,8,21,81,49,39,54,394,1332,92,25,6
Goa,Guindy Snake Park,Almora,Northern,1,3,10,96,39,75,81,361,1681,189,372,6
Jammu and Kashmir,Rampara Wildlife Sanctuary,Baksa,Central,0,2,5,75,31,0,65,88,90,156,468,13
Jammu and Kashmir,Thol Lake Wildlife Sanctuary,Kurnool,Northern,0,6,2,47,26,25,18,478,854,226,147,18
Tripura,Udanti Wildlife Sanctuary,Hazaribagh,Central,1,6,8,91,50,8,83,235,1626,158,193,12
Mizoram,Bhagwan Mahavir Wildlife Sanctuary,Kullu,Eastern,1,1,18,95,45,74,47,434,1500,225,739,23
Himachal Pradesh,Sita Mata Wildlife Sanctuary,Somwarpet,Southern,0,9,26,35,35,68,72,219,761,267,799,19
Assam,Chandoli National Park,Champhai,Central,1,2,8,98,42,61,20,8,49,292,450,24
Manipur,Panna National Park,Udhagamandalam (Ooty),Central,0,7,10,40,15,47,53,206,37,208,102,12
Arunachal Pradesh,Mhadei Wildlife Sanctuary,Nilgiris,Southern,0,2,24,78,33,58,29,365,444,240,273,13
Manipur,Bir Moti Bagh Wildlife Sanctuary,Alwar,Northern,1,3,27,82,48,41,33,339,1215,250,421,8
Meghalaya,Vansda National Park,North Sikkim,Northern,1,11,30,83,39,95,98,86,972,176,729,10
Nagaland,Bandhavgarh National Park,Anantnag,Central,0,3,11,90,25,41,53,181,256,292,393,8
Sikkim,Kinnerasani Wildlife Sanctuary,East Godavari,Northern,0,2,3,29,10,33,86,402,708,138,190,5
Assam,Kumbhalgarh Wildlife Sanctuary,Chamoli,Western,1,5,10,96,50,30,8,492,1199,276,449,6
Andaman and Nicobar Islands,Middle Button Island National Park,Udhampur,Southern,0,12,8,91,25,79,27,98,1305,32,773,12
Haryana,Betla National Park,Bahraich,Northern,0,5,23,94,11,12,23,84,487,34,298,4
Punjab,Chandraprabha Wildlife Sanctuary,Great Nicobar,Western,1,4,18,95,42,48,92,267,1526,166,104,8
Nagaland,Sharavathi Valley Wildlife Sanctuary,Bhavnagar,Eastern,0,2,20,42,16,95,54,354,877,63,791,5
Bihar,Khangkhui Mangsor Wildlife Sanctuary,Uttarkashi,Western,1,5,4,82,39,64,16,399,118,86,410,6
Andaman and Nicobar Islands,Buxa Tiger Reserve,Uttara Kannada,Southern,0,5,27,99,34,45,49,198,831,5,649,20
Gujarat,Nakti Dam Wildlife Sanctuary,Belonia,Central,1,11,14,83,50,70,97,475,1989,217,94,5
Manipur,Palamau Tiger Reserve,Rajahmundry,Southern,1,6,5,98,40,36,19,129,1220,72,47,5
Tamil Nadu,Pin Valley National Park,Gwalior,Central,1,9,10,98,49,32,71,448,1839,169,2,24
Chhattisgarh,Gumti Wildlife Sanctuary,Chennai,Southern,1,8,16,86,39,12,25,373,920,66,520,21
Andaman and Nicobar Islands,Murlen National Park,"Idukki, Pathanamthitta, and Thekkady",Central,0,3,17,32,33,56,28,97,899,209,624,4
Bihar,Chimmony Wildlife Sanctuary,Sanguem,Southern,0,4,11,23,19,85,91,277,1087,211,853,8
Himachal Pradesh,Valley of Flowers National Park,Dibang Valley,Northern,0,4,2,67,32,42,10,158,180,129,980,24
Tripura,Nameri National Park,Cachar,Eastern,1,2,12,91,45,81,89,114,81,41,382,23
West Bengal,South Button Island National Park,Jalpaiguri,Eastern,1,5,8,93,50,71,58,486,1615,84,828,15
Punjab,South Button Island National Park,Gwalior,Southern,1,5,9,91,39,23,54,347,244,210,808,6
Madhya Pradesh,Puliebadze Wildlife Sanctuary,Sawai Madhopur,Eastern,0,12,28,57,15,18,53,373,69,293,885,7
Tripura,Bhimashankar Wildlife Sanctuary,Kalimpong,Northern,1,2,16,94,40,48,1,374,737,222,662,5
Maharashtra,Simlipal National Park,Ukhrul,Central,1,2,15,86,40,21,17,209,691,257,926,13
Sikkim,Maenam Wildlife Sanctuary,Raisen,Eastern,1,2,9,87,49,19,25,21,1130,147,295,7
Karnataka,Vallanadu Blackbuck Sanctuary,Chikkamagaluru,Southern,1,7,6,84,50,52,46,235,758,139,316,6
Maharashtra,Vaduvoor Bird Sanctuary,South Tripura,Eastern,0,10,4,65,38,54,20,375,1039,127,163,5
Himachal Pradesh,Bandhavgarh National Park,Sanguem,Central,0,2,2,32,16,9,21,38,1342,287,202,10
Manipur,Chail Wildlife Sanctuary,East Kameng,Northern,1,3,20,91,44,11,68,296,426,294,901,21
Himachal Pradesh,Jim Corbett National Park,Thiruvananthapuram,Northern,1,4,25,82,48,90,85,116,1459,195,992,12
Gujarat,Pench National Park,Mamit,Central,0,9,6,25,20,61,55,414,820,161,429,11
Madhya Pradesh,Kumbhalgarh Wildlife Sanctuary,Chamoli,Northern,0,11,12,57,20,23,66,322,729,207,638,10
Meghalaya,Mhadei Wildlife Sanctuary,Wardha,Eastern,0,4,20,68,17,91,1,497,456,88,805,7
Bihar,Netravali Wildlife Sanctuary,Great Nicobar,Southern,0,7,14,37,13,18,12,92,618,107,216,15
Mizoram,Bhimashankar Wildlife Sanctuary,Angul,Central,0,11,9,67,34,92,86,338,1411,200,812,9
Himachal Pradesh,Pushpagiri Wildlife Sanctuary,Palamu,Southern,0,11,30,58,35,61,50,445,1018,0,608,24
Jharkhand,Rowa Wildlife Sanctuary,Ahmedabad,Eastern,1,1,11,83,49,16,57,65,246,126,18,5
Andhra Pradesh,Bhimashankar Wildlife Sanctuary,Alipurduar,Central,1,10,10,86,50,73,45,336,235,277,18,4
Meghalaya,Palamau Tiger Reserve,Idukki,Eastern,1,8,13,92,50,29,75,210,480,12,771,21
Nagaland,Rowa Wildlife Sanctuary,Udhampur,Central,1,8,30,96,42,84,31,4,1763,95,502,5
Andhra Pradesh,Ramnagar Wildlife Sanctuary,Wardha,Central,1,12,18,91,50,21,32,360,593,97,207,8
Andaman and Nicobar Islands,Borail Wildlife Sanctuary,Angul,Southern,0,2,15,88,36,5,81,186,500,173,567,15
Jammu and Kashmir,Navegaon National Park,Kohima,Central,1,1,19,98,43,67,29,57,220,206,990,14
Haryana,Gandhi Sagar Wildlife Sanctuary,Lawngtlai,Southern,0,3,16,86,37,29,49,247,1544,124,620,21
Rajasthan,Sessa Orchid Sanctuary,Sonitpur,Central,0,2,18,53,16,92,15,337,1866,32,803,22
Madhya Pradesh,Keibul Lamjao National Park,Hoshangabad,Central,0,7,11,58,16,43,24,109,1853,40,42,4
Punjab,Great Himalayan National Park,Alipurduar,Western,1,2,7,95,50,42,50,38,1001,234,474,5
Punjab,Bir Shikargah Wildlife Sanctuary,Nilgiris,Eastern,1,11,8,94,47,12,10,22,1627,297,671,18
Meghalaya,Palamau Tiger Reserve,Kalimpong,Southern,1,5,13,82,42,32,50,358,1258,24,763,14
Karnataka,Kumbhalgarh Wildlife Sanctuary,Gurgaon,Northern,1,5,31,99,49,30,32,174,965,121,389,14
Uttar Pradesh,Dibang Wildlife Sanctuary,Panna,Central,1,3,14,95,45,12,43,240,1613,254,329,22
Uttarakhand,Coringa Wildlife Sanctuary,South Garo Hills,Central,1,4,17,82,49,79,80,296,367,96,624,12
Tamil Nadu,Namdapha National Park,Sivaganga,Southern,1,1,16,81,47,44,5,463,1426,104,399,19
Karnataka,Coringa Wildlife Sanctuary,Nagpur,Southern,0,1,7,89,10,39,64,218,655,143,296,7
Arunachal Pradesh,Sita Mata Wildlife Sanctuary,Sepahijala,Northern,0,10,22,20,13,35,52,338,473,217,583,8
Mizoram,Pulie Badze Wildlife Sanctuary,South Andaman,Central,1,8,6,97,40,70,95,78,1396,19,617,4
West Bengal,Jhalana Dungari Wildlife Sanctuary,South Tripura,Southern,0,9,24,22,34,35,99,321,1833,296,111,13
Bihar,Bandhavgarh National Park,Nilgiris,Western,1,7,4,82,43,21,49,62,654,89,609,9
Chhattisgarh,Jhalana Dungari Wildlife Sanctuary,Kheda,Eastern,0,6,13,21,31,85,95,68,1850,65,613,18
Haryana,Askot Wildlife Sanctuary,Chennai,Central,0,7,18,62,34,54,3,369,456,290,472,21
Meghalaya,Kurinjimala Sanctuary,Darrang,Northern,0,4,29,40,33,73,60,105,1372,279,52,22
Assam,Nagarjunsagar-Srisailam Tiger Reserve,Leh,Northern,1,8,30,86,50,76,38,93,1385,23,201,18
